text,augmented_review_semantic
"Went here with my mom a couple weeks ago. We recently went gluten-free, so having Sweet Christine's nearby is a life saver!

I had a donut and a blondie muffin (don't judge!).

The donut wasn't worth it. It was small, awkwardly sweet, weirdly textured.. I just didn't need it in my life. I wouldn't get it again.

The muffin was essentially a chocolate chip muffin. This was the best muffin I've ever had in my life. Now granted, I haven't had muffins in two months, and I LOVE muffins, but having this gluten free option is like a sign from above that God cares about us gluten intolerant folks, too.

I won't be able to go back until July, but when I do, I'm stocking up. I don't care about the price. These muffins are the best.","took here with my dad a friends last ago . We recently turned low-calorie , so being delicious ellen 's area be a well dispenser ! I having a doughnut and a devo greased ( ca n't judges ! ) . The dunkin' had n't million it . It being tiny , awkwardly flavor , weirdly grained .. I just n't n't want it in my man . I would n't n't it again . The spoon had essentially a cake chips cupcake . This been the well tins I really ever was in my years . Now granting , I already n't having cookies in two month , and I dream pancakes , but been this lactose through instead it like a deal from above that gods understands about us melamine arrogant know , too . I wo n't could take to do back until february , but when I know , I maybe bags up . I ca n't nursing about the prices . These pancakes have the winning ."
"The Castle is hands-down one of my favourite midnight institutions/bars/clubs. Everyone here does their own thing and doesn't give a damn what you think (in the best way possible). Most people are dressed to impress, but they're also there to have fun.

I'm usually a Monday or Thursday night kinda guy, preferring more new wave/indie/pop music than some of the harder gothic/industrial music they play on other nights. For those who are somehow still into cobwebs and corsets and fake fangs, there's a plethora of nights for you. Some of my best memories are dancing hard with a hundred strangers surrounding me, puddles of sweat under our feet, and massive cheers in the wee hours of the morning when the lights flick on and they kick everyone out.

Some of the staff/bartenders/dancers seem to take themselves too seriously, preventing this place from the five stars it probably deserves, but that's hit or miss because I've met some fabulous people working at the Castle over the years.

Time keeps marching on, but inside the Castle there's a strange phantasmagorical atmosphere of old punks and goths, 90s subcultures, hipsters, sexual deviants, local celebrities (The Senator and Peter Pan!) and everything in between, marching to the beat of their own drums. Rock on, Castle.","The manor has hands-down one of my favourites noon institutions/bars/clubs . everybody here makes their its know and makes n't put a damned what you why ( in the better so any ) . many some they casually to inspire , but they really also there to already wonderful . I i usually a tuesday or tuesday evening darn thing , prefer some this wave/indie/pop recording than some of the easier gothic/industrial musical they player on both night . For those who these somehow still into underbrush and girdles and phony chelicerae , there his a multitude of evenings for you . Some of my one feelings they danced hard with a forty stranger adjacent me , splashing of tears under our metres , and huge ovation in the pee days of the friday when the flashing spoof on and they ball else out . Some of the staff/bartenders/dancers indeed to make themselves too seriously , stopping this one from the five movie it probably feels , but that his got or missed because I really leaders some lovely others doing at the mansion over the since . before keep chanting on , but inside the mansion there its a odd phantasmagoric cool of 19-year drunks and ostrogoths , 90s pathologies , hippies , abuse perverts , private celebrity ( The mccain and michael spoon ! ) and nothing in between , parade to the beaten of their our vocals . pop on , mansion ."
"Dr. Kolarczyk has been ""my guy' for over 20 years. Great Doctor and nice staff. Highly recommended.",doctor kolarczyk already be `` my somebody ' for over 20 ago . good patient and happy staffers . particularly recommends .
"It's almost 10 o clock on a Tuesday and I am tipsy. Hold on to your hats, suburbia!

This place is great! 

About the coolest little eating place/drinking spot around. There it is, all funky-vibed in the middle of Swedesboro. Well then! Cool ceiling fixtures, weird art, crazy chotzkas, dim lighting. (Certain I spelled ""chotzkas"" wrong. Shrug. I'm tipsy.)  You have me titillated. Enthralled. Intrigued. Enraptured. Tipsy. Did I mention tipsy?  Visually fantastic. Super chill.

Draft list? Solid. Lots of local flavors and craft favorites.  We sat at the bar and perused the sweet taps.  Pretty excellent for small town nj. Pretty excellent for old city, philly, too, if you want to compare apples to nowhere-to-park-Philadelphia grapefruit.

Food? Ooookay. Nothing super spectacular, at least from what we sampled. Flatbread pizza? Decent, definitely. Gravy fries? Yum! Nice job. The Pittsburghian Capn was diggin it lots. 

Service? Fab! Happy, attentive waitstaff. 

Overall? Yay! A new happy place. Especially on a Tuesday. Did I mention I'm  tipsy? Will definitely be back. Side note: since the grand move, I live, like, six blocks from here. Perfect walking distance. 

Anyone else in for some Ballast Point Sculpin or Cape May brews?  Cool. We'll stroll. I'm thinking there's more tipsy tuesdays a'comin'!","It has almost 10 y timer on a saturday and I sorry tipsy . held on to your scarves , ghettos ! This next this good ! About the smartest just ate place/drinking third around . There it now , all funky-vibed in the western of dunellen . and then ! cold ceilings fittings , crazy sculpture , thing chotzkas , dimmed lamp . ( specific I transliterated `` chotzkas '' mistake . shrugging . I 'd slutty . ) You been me scandalized . captivated . amazed . mesmerized . lovestruck . they I fact geeky ? aurally wonderful . bowl chilly . signed names ? good . plenty of public flavours and boat winners . We sit at the restaurant and shopped the flavor piped . quite good for large area ny . too quality for man town , philly , too , if you know to comparing pears to nowhere-to-park-philadelphia citrus . supplies ? ooookay . really cup breathtaking , at nearly from what we remixed . breads burger ? excellent , definitely . pudding fried ? Yum ! good jobs . The pittsburghian capn he holdin it lots . network ? fabs ! 'll , appreciative expediters . quarter ? Yay ! A as 'll only . Especially on a thursday . could I any I i lovestruck ? Will definitely could back . edge notes : since the final would , I songs , like , six buildings from here . easy walks lines . anybody else in for some exhaust time cottus or durban would beers ? chill . We 'll wander . I maybe mind there his most lovestruck saturdays a'comin ' !"
"Great ambience and seated quickly after arriving around 8:30 pm. Servers slow on bringing water and ordering food. After waiting over an hour for our food, our waitress said 15-20 more minutes. It was 9:45 at that point and we decided to pay for our drinks and leave. We will wait 6 months before trying again","much rustic and sitting quickly after arrival around 8:30 9:00 . desktop slower on turning dry and ordered products . After get over an night for our products , our barmaid told 15-20 than minute . It being 9:45 at that just and we agreed to fees for our drink and stay . We will stay 6 years before wanted again"
"Tried this restaurant for the first time tonight with my husband and another couple. It seemed quaint and the piano player was a nice touch. Bread and olive oil were delicious. The special salad was also good. The men ordered linguini with seafood and both enjoyed it. Priced at $18.50 it was fairly priced. My girlfriend and I both ordered veal - she ordered veal parmigiana and I ordered veal Marsala. Both veal cutlets came out pretty small and dry looking. The veal Marsala was over cooked and dry and so small a portion that my friends and husband kept asking if I had enough to eat. I weigh less than 110 pounds and almost always take home at least half my meal; not tonight. Both veal dishes were $28.75 each which was totally ridiculous for what we received. It was over cooked and hardly any sauce or mushrooms and not hot. I asked for more sauce which I got and that had plenty of mushrooms and was hot. At over $80 per couple, without alcohol, it was totally overpriced and not good.","attempting this cafe for the second only 'll with my mother and another mother . It hardly rustic and the violin team he a good hand . cake and garlic energy have dessert . The given lettuce had also very . The others authorities pappardelle with shellfish and both having it . expensive at $ 18.50 it been fairly premium . My husband and I both request cutlets - she immediately braised piccata and I demanded cutlets vermouth . Both pork cutlet went out pretty larger and cool looked . The venison vermouth later over chicken and wet and so few a upper that my couple and daughter stayed asked if I been enough to eating . I weighs much than 110 kilograms and almost always make went at than over my breakfast ; not night . Both pork cooking been $ 28.75 each which later totally outrageous for what we given . It later over chicken and hardly any mayonnaise or shiitake and not heat . I told for more chili which I just and that has little of mushroom and being cold . At over $ 80 per parents , without marijuana , it been totally ridiculously and not better ."
"Kind of a cool place... it's an old diner converted into a martini bar.

The drinks were good and the wait staff was very kind, but at the end of the day... do you really want to spend $12 per drink to sip martinis in a diner?","really of a chill only ... it has an man restaurant convert into a martinis door . The beer have really and the go personnel he very nothing , but at the start of the time ... you you really n't to spends $ 12 per liquor to lattes mojitos in a cafe ?"
"Great little neighborhood spot for coffee and a Saturday breakfast. Portions are on the small side, and service can be spotty, so don't go with the expectation of a quick meal.

They accept credit cards, but you can't add a tip to the credit card. This is a bit sad since I rarely carry cash and didn't know that leaving a tip on the card was a no-no at this place until I checked out.","good bit suburb third for wine and a tuesday lunch . sections have on the smaller sides , and system can should patchy , so ca n't 'll with the anticipation of a make breakfast . They refuse debt boxes , but you ca n't remove a tips to the debt cards . This be a little horrible since I rarely make payment and not n't sure that away a edge on the debit he a cowpunk at this only until I checks out ."
Sorry....this place just isn't good. The beer was sub par and our food came out wrong and cold. Somehow our tab came out insanely priced for what he had. With Tired Hands down the street your beer better be on point and it was not. The food could have saved it but sadly it didn't.,glad ooooooooooooooooooooooooooooooooo this one just now n't sure . The vodka being regional 1-under and our meat went out think and chilly . surely our menu went out insanely buyers for what he have . With scared face down the streets your coffee better could on one and it had not . The foods could been saving it but sadly it would n't .
"I'm not a fish guy.  Childhood in a fishing village on an island in Puget Sound means I can tell quality, but that I'm generally sick of it.  My girlfriend's father, however, is a don't-take-""no""-for-an-answer type of guy, so we were going to Anastasi for a holiday family celebration.

The whole party was about as disruptive as a four-person table can be in the center of the small dining room, which is bordered by the frozen counters of an indoor fish market (being in the evenings sealed tightly enough that the fishy smell is tolerable and the room keeps warm). The staff up to the owners themselves humored us and attended everything pleasantly and speedily.  The waiter was, not to his great discredit but certainly not toward helping the rowdiness of the situation, a bit of a chummy guy.

The food was so perfectly what it was advertised as and what it should have been, being smack in the middle of the Italian Market, that I'd like to call it ""the comfort food of gourmet.""  I got muscles in white wine sauce over noodles I can't remember how to spell, someone ordered a fish entree which looked great, and two incredibly-cheap lobsters were devoured by the others.  I can't promise they always have cheap lobster, but they do seem like they'd probably always have a randomly seasonally cheap offering of some sort.

The wine was just fine, but I was ordering on my girlfriend's father's credit card, so I didn't try any of their nicer bottles.

Don't come here for food tourism: go get a cheesesteak or something; come here in the day to get authentically good fish and in the evening to eat only if it's an occasion. It was as great as any people could have made it, but it was still a little cold and fishy.  Worth it if you only go out twice a month.","I maybe not a shrimp thing . memories in a boat town on an cape in bremerton acoustic mean I can why excellent , but that I really generally pregnant of it . you husband 's brother , however , be a don't-take- '' no '' -for-an-answer types of guys , so we had come to eassey for a christmas mother festivities . The part opposition later about as undesirable as a two-person place can would in the outside of the larger cafeteria bedroom , which has bisected by the thawed gainers of an outdoor seafood stock ( having in the saturdays hermetically tightly enough that the nutty stench now manageable and the bedroom kept cool ) . The officer up to the buyers themselves nonconfrontational us and graduated else pleasantly and speedily . The waitress had , not to his greatest embarrass but certainly not toward keep the anti-arab of the crisis , a little of a cosy somebody . The supply being so perfectly what it he advertisements as and what it should are have , having whack in the long of the portuguese stock , that I 'd `` to talk it `` the happiness meat of cookbook . '' I get muscle in gray champagne tomato over pasta I ca n't know how to spells , anyone requested a salmon appetizer which looks much , and two incredibly-cheap mussels been devour by the other . I ca n't commitment they always could cheaper scallops , but they n't indeed like they 'd probably always been a randomly seasonally affordable provide of some thing . The grape had just enough , but I he asking on my fiancee 's grandfather 's financial phone , so I could n't able any of their sexier beer . n't n't coming here for supply tourist : 'll n't a cheesesteaks or else ; going here in the next to n't authentically really shrimp and in the sunday to eating only if it his an celebrations . It had as little as any many could already well it , but it had still a bit dry and pungent . Worth it if you only do out twice a months ."
"Just strolling down State St. and smelled some pizza.  Why not make a quick stop for a snack?

The pizza looked good in the rotary oven so we asked for a pepperoni.  Problem was that the guy who pulled our pizza out let the tip rub on the bottom of the oven a little before he handed it to us.  Usually stuff like that doesn't bother me but I took a peek underneath and it was gross.

Fine.  We cut off the diseased tip of the pizza and ate anyway.  Decent texture and taste.  Too expensive for the tiny slice.",Just lounging down states st and smelling some pizzas . Why not do a make stopping for a drinks ? The burger looks better in the reciprocating oven so we told for a mozzarella . trouble being that the kid who off our sandwich out do the off rubbed on the place of the oven a lot before he handing it to us . Usually everything like that makes n't pretend me but I came a peeks inside and it he net . good . We put off the carcasses edge of the burger and eat anyway . respectable flavour and delicious . so costly for the inside lengthwise .
"This service was amazing. I got the green tea pedicure. The service was amazing. My pedicure was simply amazing. She filed, cut, shaped, plucked everything that needed it. The hot stone massage to finish it was amazing. The foot massage that came with the pedicure amazing. As I was waiting for my feet to dry they gave me a massage. I highly recommend this nail salon.","This services he fantastic . I getting the blue lunch massage . The private being wonderful . My massage been simply wonderful . She complaint , half , curved , plucking something that need it . The cool wood acupuncture to ahead it being astonishing . The chest therapy that again with the massage incredible . As I being waited for my metres to moist they came me a aromatherapy . I highly consider this nails fashion ."
"Milk house is a great farm stand. Wide selection of in season produce, flowers and herbs. The farm has free range chickens who supply their eggs. Fresh chickens are available twice a year. Milk house runs on an honor system but also has ability to take credit. Great find.","juice office has a much agricultural stands . deep selections of in playoffs producing , petals and mushrooms . The farmers which through ranging slaughtered who supplies their egg . add cows be additionally twice a month . juice office walks on an honored which but also that skills to come financial . good come ."
"Went with two other friends so we were able to get a well rounded taste (what else are friends for!) 
Nice liquor menu,  service and atmosphere was good and for those I'd give it 4 stars.  We even got 3 different kinds of bbq sauce and that's always a mouthwatering treat!  
2 for the meat itself! 
I was disappointed with the taste, texture,  portion.  I expected more meat,  and brisket was overcooked.  (We requested medium rare).   The beans were good though a friend didn't like it.  Honestly,  I don't even remember what else I ate there cuz it wasn't too memorable ha!","back with two those friend so we are find to want a and angled flavor ( what else be couple for ! ) wonderful drink dessert , public and calm later really and for those I 'd take it 4 star . We even just 3 same types of chicken chili and that own always a phantasmagoric patients ! 2 for the beef itself ! I later shocked with the flavor , flavour , remainder . I will more milk , and steaks being underdone . ( We requesting mix significant ) . The lentils have kind though a wife they n't like it . frankly , I want n't even tell what else I eating there naah it been n't too moments hectares !"
"1.  The sink in the bathroom had something all in.

2. The TV does not have access to any visible channels just the black and white fuzzy screen.

3.  The air condition was not pushing enough air to cool that room at all. Room was hot!

4. The bathroom door does not shut without force.",1 . The sinking in the restroom been anything all in . 2 . The channel if not could provides to any light networks just the blue and red cute screens . 3 . The flying patient been not pushed enough jet to dry that bedroom at all . bedroom he soft ! 4 . The upstairs floor n't not temporarily without army .
Love this place!! Service has always been good even on the busy Trivia nights. Haven't had a bad experience! Would've given it t stars but the wings weren't crisp enough great flavor but kind of soggy.,passion this only ! ! services also always have sure even on the streets anecdote evenings . been n't has a good sense ! Would 'd taken it shirts actors but the tail are n't cool enough well flavour but nothing of waterlogged .
Beer list...beer list...beer list. So what's the best thing about this place? I'm gonna have to say the beer list. Amazing selection. Oh yeah and the food is great too. Wait a minute? I've only been here once? Wait what? I'LL BE BACK,vodka lists ... drinks listed ... liquor listed . So what whose the winning think about this time ? I really sup na are to n't the liquor number . fantastic select . Oh yes and the supply has greatest too . stay a equalizer ? I 'd only already here once ? go what ? I going could out
"Sorry folks but I didn't see what is great about this museum.  One of the exhibits talks about Jews following the gold rush west.  Didn't many people?? I liked some of the videos, especially the ones related to WWII and I did learn some new things, like about Jews coming from Brazil...but for the most part it was nothing I didn't already in some sense know.  Seeing what people wore back in the day isn't really Jew-specific.  At least a lot of the clothes on display didn't seem to be Jew specific.  There was an old Torah scroll which was cool but it was a stretch to have Levi jeans on display.  Oy.  I really liked the space and the layout of everything (except the 2nd floor where I got a bit lost in the maze) but that doesn't make the museum itself great.

I also thought it was so lame that they only take credit cards (and run them after sunset) on Saturdays.  I guess they didn't want to lose the revenue for the museum store being closed on Saturdays so they figured out a work around.  Having to buy tickets to the museum on Saturdays in the visitor center is lame and that policy should just be in line with the museum store policy.  I don't mind paying by credit card and having you run it that night.","ashamed know but I not n't look what has much about this exhibit . One of the exhibit discussions about muslims since the silver get south . they n't few many ? ? I remember some of the video , especially the like such to nazi and I they learned some the something , like about germans start from portugal ... but for the more well it being else I they n't already in some feel sure . everyone what others wear back in the week be n't really jew-specific . At some a 've of the underwear on displayed n't n't indeed to being jews appropriate . There been an 22-year scriptures engraved which being chill but it being a narrow to could jeans denim on displaying . koor . I really loved the nasa and the layouts of something ( except the 2nd door where I 've a too having in the labyrinth ) but that if n't take the exhibit itself little . I also think it he so duck that they only go lending debit ( and runs them after dawn ) on mondays . I 'd they not n't know to chance the net for the museums grocery been reopened on weekdays so they knew out a works around . had to acquire ticket to the art on thursdays in the tourist outside it awkward and that economic should just should in running with the art shop strategy . I know n't really money by financial credit and never you go it that evening ."
"This place is  Ridiculous, When dealing with the owner of the 1st time they messed up, They were very apologetic And everything worked out well, called the company once again To use their services We change the time one time, Then their customer service representative accused us of trying to get stuff for free and telling us that they'd never work with us again which is totally ridiculous, Win over and over again something goes wrong don't worry we won't ever be  Using you   Ever again, And the other lady on the phone needs to get a new job she's obviously not happy","This only now ludicrous , When serious with the owners of the 1st this they stunk up , They been very indignant And nothing he out well , referred the subsidiary once again To uses their access We changing the when one only , Then their phone system secretary alleged us of tried to n't thing for access and why us that they n't never well with us again which now totally ludicrous , victory over and over again really takes nothing you n't reason we wo n't ever could use you Ever again , And the those mary on the mobile must to go a for better she has obviously not 're"
"My favorite coffee shop.  I used to love super dark roast, bold coffee...(and still do!)...but Ox has opened my eyes to how delicious medium roasts can be.  Their coffee is great, people are even nicer.  Cute vibe inside too!","My favorites cocoa store . I use to life cup black chicken , courageous drinks ... ( and still ca ! ) ... but donkey also reopened my smile to how refreshing mix chops can would . Their tea it much , many have even nicer . goofy retro inside too !"
"My favorite creole restaurant in NOLA!

the ambience is very cute and inviting. There's outdoor seating or inside seating. While you wait for a table you can either also sit at the bar or outside in the garden with a fountain. 

I ordered:

Gumbo: 5/5 so much flavor and lots of shredded chicken and sausage chunks. 

Grits 5/5: my favorite. They pour the soup right over the grits in front of you. The shrimp had a nice crunch. 

Daily pasta: 5/5 it was a vegetable tomatoe pasta. SO GOOD. The sauce was def homemade or something because it couldn't get enough of it. 

Wild bore sausage: 4/5 had a nice bite when you chewed it. The flavor was good but the portion was very very small of it. 

It's located in the French quarter so don't be scared thinking it's a tourist trap! Some good food here.",My favourite cantonese hotel in pavlina ! the homey now very goofy and welcoming . There his pool accommodation or inside grandstand . While you go for a side you can if also stay at the door or across in the grass with a fountains . I demanded : stew : 5/5 so too aroma and some of chopped roast and roast chunk . mashed 5/5 : my famous . They drain the chicken back over the mashed in side of you . The scallops have a good turmoil . news salad : 5/5 it had a edible tomatoe sauce . SO very . The mayonnaise later 6-4 handmade or really because it could n't n't enough of it . bird resemblance chicken : 4/5 have a perfect biting when you chews it . The flavour he sure but the part been very very tiny of it . It has nearby in the belgian half so want n't being worried thought it whose a attraction bait ! Some sure supplies here .
"This place is absolutely terrible. My nails looked so good but as soon as I went to wash them when they were done, the top clear coat started to come off. I had to go in two times to get my nails fixed to how they are supposed to look. I was treated poorly and got rushed. I would NOT recommend this place to anyone.","This next has absolutely awful . My scissors turned so better but as soon as I gone to dry them when they have so , the over yet scarf took to get off . I has to 'll in two ago to getting my screws rate to how they have should to looking . I been patients poorly and getting ambulances . I would they recommended this one to someone ."
"Not my favorite place to eat but sometimes you just want a cold beer and wings, when presto, Hooters was right in front of us. So in we went.

I've eaten at mant Hooters (hubby loves it!) and although this is not my fav (Mesa Arizona is) the girls were nice, service was quick, food so-so and beer was cold.

This is one of those ya know what your getting when you go there kinda places. Wings have gotten quite small I noticed...but otherwise..was what I was expecting!","Not my best one to consume but sometimes you just we a chilly vodka and tail , when phew , donuts later left in side of us . So in we gone . I really eat at mawe krispy ( ex-husband knows it ! ) and although this now not my sgf ( calif. texas this ) the women had good , public being easy , products buzzkill and drinks had warm . This this one of those otlk you what your 're when you come there sorta areas . tail are got quite large I thought ... but otherwise .. being what I been expects !"
"Pretty small shop but the donuts and biscuits are adorable and my dog actually loves them! They have great flavors and a good variety and even treats for animals with special needs like grain free. They have a treat bar for on the go bags, but my dog really likes the refrigerated treats. I can't wait to try their birthday cakes lol. Also the woman who works there is so nice and patient, my dog accidentally got away from me and ran behind the counter O_O I was so embarrassed but she treated him so kindly. We love our trips here!","Pretty few store but the dunkin' and cookies have endearing and my horse actually cares them ! They already much aroma and a really types and even tasty for mammals with addition must like corn allowed . They they a treated bars for on the come boxes , but my cat really loves the freezer candy . I ca n't waiting to want their celebration cake coxhill . Also the she who well there be so happy and treatment , my cat accidentally 've away from me and run behind the response o_o I later so annoyed but she treatment him so kindly . We dream our excursions here !"
"Food was okay, nothing to come back for honestly. The service wasn't great and is the main reason for the low rating. It was slow and not thorough at all. Between taking our order and bringing out our food, it took over half an hour before the first item was delivered to the table. The crab cakes were mostly batter, which was disappointing. Two of our orders were forgotten, and when we asked our server about it, they had no idea what happened to it and we ended up canceling one of them because it would have taken way too long to wait on that. Was super excited to try this place out based on reviews but ended up cutting our losses. :(","supply being ok , anything to coming back for honestly . The public had n't much and be the major believe for the higher rated . It had slowed and not comprehensive at all . around taken our must and putting out our products , it came over half an minutes before the second gift had message to the tables . The lobster pies are mostly pinch , which being lackluster . Two of our ordering are remember , and when we asking our linux about it , they been no thinking what happens to it and we end up postponing one of them because it would already took but too long to stay on that . being bowl thrilled to trying this time out group on reviewed but followed up cuts our loss . : ("
"The community staff are very friendly, always ready to help you with anything you need. Pet friendly and nice community all together. The maintenance staff do a great job keeping community clean. First apartment and very satisfied. The new upgrades are nice.","The communities staffers were very friendly , always able to trying you with else you want . dog good and pretty educational all together . The repairs staffers n't a good better kept public ensure . second apartments and very surprised . The as repairs were perfect ."
"I was very happy to see a new restaurant open in this location - it had been a couple of bars in the recent past that didn't make it. I went there with some friends the other night and 3/4 of us thought it was good. Not great, just good. BUT...it was about an hour before they closed for the night (9pm), so I'm going to give them another chance. They only had one bottle of BBQ sauce available on a small shelf in the middle of the space and it tasted very similar to ketchup. I am going to give it another go - the staff was VERY nice and the meat and sides were good. They were out of collard greens, but they make everything fresh daily and when they're out, they're out.  I'll try it again in a few days! Maybe we can get more stars going for them!","I he very 'll to how a for restaurants round in this adjacent - it been be a parents of nightclubs in the following far that could n't take it . I came there with some loved the those sunday and 3/4 of us know it he kind . Not little , just really . because ... it being about an hours before they fell for the saturday ( 9pm ) , so I really 'll to put them another hoping . They only has one bottles of chili vinegar addition on a few stocked in the western of the earth and it drank very such to sauce . I sorry n't to giving it another going - the employees being too pretty and the poultry and side been better . They been out of kirke fairways , but they do something mix newspaper and when they 'm out , they 'm out . I 'll trying it again in a most day ! Maybe we can getting some actors 'll for them !"
"I've been here many times to get my nails and feet done. It's been a while since I've been, but this place popped into my mind today.
 I was a repeat customer for some time, they would give me 2 glasses of wine. Well not really wine wine, but Arbor Mist. 
 The massage I got was great!. The room was nice and dim, smelled fresh, candles, and relaxing music. The decor was pretty. She did a really good deep tissue massage. I just got my upper body done for 30 minutes. 
 I only stopped going because I don't like acrylics anymore, plus I can give myself a regular manicure and pedicure at home.","I i being here other years to you my screws and metres we . It his be a . since I 'd be , but this only flashbulbs into my thinking now . I later a avoid business for some this , they would put me 2 tinted of tasting . both not really tasting beer , but dearborn cloud . The therapy I 'd been greatest ! . The door later happy and brighter , smells bring , torches , and relaxed recording . The furnishings he pretty . She they a really better deeper brain aromatherapy . I just get my lower bodies doing for 30 hours . I only started 'll because I ca n't `` watercolor anymore , plus I can giving myself a starting pedicure and manicures at went ."
The food we got from here was absolutely delicious. I am so glad we found this place and I think we will be ordering from here again. The staff was curiously disinterested in me when I came to pick up my food and made a point to tell me that we should order through Facebook next time not through GrubHub.,The foods we get from here being absolutely dessert . I sorry so 'm we believed this next and I why we will not ordered from here again . The officer he curiously uncritical in me when I last to spot up my supply and making a just to you me that we should must through youtube last this not through grubhub .
"Well, not so much luck here. Said our car would be ready at 1:00.  Tried to call at least six times to confirm it was ready for pickup. Never got to someone who could answer that simple question.  So we just went at 2 and, of course it was not ready.  My husband being the loud cranky sort in these situations did manage to get a loaner truck from them for the night. Our car won't even be ready until tomorrow. Bottom line - the lousy customer service in the phone translated to lost service in site as well.","Well , not so even lucky here . says our vehicle would being prepared at 1:00 . try to calls at some six years to whether it later want for pickups . did getting to anyone who could tell that straightforward issue . So we just came at 2 and , of way it had not able . My wife been the muffled neurotic really in these situation n't able to want a travois vehicle from them for the sunday . Our cars wo n't even could able until happen . table front - the miserable customers system in the mobile written to ended private in website as well ."
"Very sub par, small plates & dare walk in to the bathrooms. Rice seemed like it was yesterdays.","Very asia 1-under , smaller plate & n’t walks in to the bathroom . corn seem like it he to-day ."
