review,positive_score,negative_score,sentiment_diff,predicted_sentiment
Love this place!! Service has always been good even on the busy Trivia nights. Haven't had a bad experience! Would've given it t stars but the wings weren't crisp enough great flavor but kind of soggy.,-4.519106,-4.5118713,-0.0072345734,Negative
Beer list...beer list...beer list. So what's the best thing about this place? I'm gonna have to say the beer list. Amazing selection. Oh yeah and the food is great too. Wait a minute? I've only been here once? Wait what? I'LL BE BACK,-3.526073,-3.5148544,-0.011218548,Negative
"Sorry folks but I didn't see what is great about this museum.  One of the exhibits talks about Jews following the gold rush west.  Didn't many people?? I liked some of the videos, especially the ones related to WWII and I did learn some new things, like about Jews coming from Brazil...but for the most part it was nothing I didn't already in some sense know.  Seeing what people wore back in the day isn't really Jew-specific.  At least a lot of the clothes on display didn't seem to be Jew specific.  There was an old Torah scroll which was cool but it was a stretch to have Levi jeans on display.  Oy.  I really liked the space and the layout of everything (except the 2nd floor where I got a bit lost in the maze) but that doesn't make the museum itself great.

I also thought it was so lame that they only take credit cards (and run them after sunset) on Saturdays.  I guess they didn't want to lose the revenue for the museum store being closed on Saturdays so they figured out a work around.  Having to buy tickets to the museum on Saturdays in the visitor center is lame and that policy should just be in line with the museum store policy.  I don't mind paying by credit card and having you run it that night.",-3.8353724,-3.83157,-0.003802538,Negative
"This place is  Ridiculous, When dealing with the owner of the 1st time they messed up, They were very apologetic And everything worked out well, called the company once again To use their services We change the time one time, Then their customer service representative accused us of trying to get stuff for free and telling us that they'd never work with us again which is totally ridiculous, Win over and over again something goes wrong don't worry we won't ever be  Using you   Ever again, And the other lady on the phone needs to get a new job she's obviously not happy",-4.449697,-4.4276786,-0.022018433,Negative
"My favorite coffee shop.  I used to love super dark roast, bold coffee...(and still do!)...but Ox has opened my eyes to how delicious medium roasts can be.  Their coffee is great, people are even nicer.  Cute vibe inside too!",-4.695419,-4.6623764,-0.03304243,Negative
"My favorite creole restaurant in NOLA!

the ambience is very cute and inviting. There's outdoor seating or inside seating. While you wait for a table you can either also sit at the bar or outside in the garden with a fountain. 

I ordered:

Gumbo: 5/5 so much flavor and lots of shredded chicken and sausage chunks. 

Grits 5/5: my favorite. They pour the soup right over the grits in front of you. The shrimp had a nice crunch. 

Daily pasta: 5/5 it was a vegetable tomatoe pasta. SO GOOD. The sauce was def homemade or something because it couldn't get enough of it. 

Wild bore sausage: 4/5 had a nice bite when you chewed it. The flavor was good but the portion was very very small of it. 

It's located in the French quarter so don't be scared thinking it's a tourist trap! Some good food here.",-3.9937823,-3.9934933,-0.00028896332,Negative
"This place is absolutely terrible. My nails looked so good but as soon as I went to wash them when they were done, the top clear coat started to come off. I had to go in two times to get my nails fixed to how they are supposed to look. I was treated poorly and got rushed. I would NOT recommend this place to anyone.",-3.4340277,-3.4405663,0.0065386295,Positive
"Not my favorite place to eat but sometimes you just want a cold beer and wings, when presto, Hooters was right in front of us. So in we went.

I've eaten at mant Hooters (hubby loves it!) and although this is not my fav (Mesa Arizona is) the girls were nice, service was quick, food so-so and beer was cold.

This is one of those ya know what your getting when you go there kinda places. Wings have gotten quite small I noticed...but otherwise..was what I was expecting!",-4.662017,-4.6579165,-0.0041003227,Negative
"Pretty small shop but the donuts and biscuits are adorable and my dog actually loves them! They have great flavors and a good variety and even treats for animals with special needs like grain free. They have a treat bar for on the go bags, but my dog really likes the refrigerated treats. I can't wait to try their birthday cakes lol. Also the woman who works there is so nice and patient, my dog accidentally got away from me and ran behind the counter O_O I was so embarrassed but she treated him so kindly. We love our trips here!",-4.1147385,-4.0990286,-0.015709877,Negative
"Food was okay, nothing to come back for honestly. The service wasn't great and is the main reason for the low rating. It was slow and not thorough at all. Between taking our order and bringing out our food, it took over half an hour before the first item was delivered to the table. The crab cakes were mostly batter, which was disappointing. Two of our orders were forgotten, and when we asked our server about it, they had no idea what happened to it and we ended up canceling one of them because it would have taken way too long to wait on that. Was super excited to try this place out based on reviews but ended up cutting our losses. :(",-3.5675597,-3.5703363,0.0027766228,Positive
"The community staff are very friendly, always ready to help you with anything you need. Pet friendly and nice community all together. The maintenance staff do a great job keeping community clean. First apartment and very satisfied. The new upgrades are nice.",-4.219027,-4.2321787,0.013151646,Positive
"I was very happy to see a new restaurant open in this location - it had been a couple of bars in the recent past that didn't make it. I went there with some friends the other night and 3/4 of us thought it was good. Not great, just good. BUT...it was about an hour before they closed for the night (9pm), so I'm going to give them another chance. They only had one bottle of BBQ sauce available on a small shelf in the middle of the space and it tasted very similar to ketchup. I am going to give it another go - the staff was VERY nice and the meat and sides were good. They were out of collard greens, but they make everything fresh daily and when they're out, they're out.  I'll try it again in a few days! Maybe we can get more stars going for them!",-3.3722408,-3.3769686,0.0047278404,Positive
"I've been here many times to get my nails and feet done. It's been a while since I've been, but this place popped into my mind today.
 I was a repeat customer for some time, they would give me 2 glasses of wine. Well not really wine wine, but Arbor Mist. 
 The massage I got was great!. The room was nice and dim, smelled fresh, candles, and relaxing music. The decor was pretty. She did a really good deep tissue massage. I just got my upper body done for 30 minutes. 
 I only stopped going because I don't like acrylics anymore, plus I can give myself a regular manicure and pedicure at home.",-3.9925435,-3.9842107,-0.008332729,Negative
The food we got from here was absolutely delicious. I am so glad we found this place and I think we will be ordering from here again. The staff was curiously disinterested in me when I came to pick up my food and made a point to tell me that we should order through Facebook next time not through GrubHub.,-3.5947778,-3.6058993,0.011121511,Positive
"Well, not so much luck here. Said our car would be ready at 1:00.  Tried to call at least six times to confirm it was ready for pickup. Never got to someone who could answer that simple question.  So we just went at 2 and, of course it was not ready.  My husband being the loud cranky sort in these situations did manage to get a loaner truck from them for the night. Our car won't even be ready until tomorrow. Bottom line - the lousy customer service in the phone translated to lost service in site as well.",-4.264631,-4.2586107,-0.006020069,Negative
"Very sub par, small plates & dare walk in to the bathrooms. Rice seemed like it was yesterdays.",-5.503764,-5.457284,-0.04648018,Negative
"Another tasty addition to the stl restaurant scene.  Went here with some friends on a Saturday night.  We requested outdoor seating and were seated in the alley, which was gorgeous and nicely decorated.  

It's been a while since I have been to a restaurant and I was excited to order drinks!  I tried the mango caipirinha  first and it was very refreshing.  For my second drink, I had the dolce de leche tini, which I initially didn't like but got better as it sat.

For dinner I ordered the salmon and my husband got the mahi mahi.  Both were cooked well and came with yummy sides.  Service was quick and the waiter was very friendly.  

Def a good place to check out!",-3.6861522,-3.6947734,0.008621216,Positive
"Wow! This is a crazy good all you can eat sushi bar. We had to wait awhile...but it was worth it. Service was quick but the presentation was beautiful. We got Micky Mouse, Hiroba, and Sashimi. Too bad it is one state away from us.",-4.2705607,-4.2504315,-0.020129204,Negative
Good place to workout during your lunch break.  Simmer will be here soon. Have to go hard now.,-4.8281245,-4.7793355,-0.048789024,Negative
"Yeap, only 2 stars!

For appetizer: we ordered calamari. It was not good, too much breading and super greasy. 

Entree: I ordered lamb with roasted potatoes and sugar snaps. For $20, I was really hoping for something extravagant. It was mostly bones and the potatoes were horrible. Way too crispy, I couldn't even split them with a knife. I wish they would present the plate of food better. Looked like everything was thrown in at the last minute. 

Dessert: make your own donut and brownie sundae. Loved the donuts with chocolate and caramel sauces. Great idea. 

Sadly, I won't be back. For the $$, I wish they would put more effort into it.",-4.0179024,-4.0144706,-0.003431797,Negative
We arrived to the airport and had time to kill before some of the other family arrived. We got our luggage and came to hangout here until everyone else arrived. Katie was a great bartender and was very persistent on if we needed anything. Drinks we're so good (sunrise sangria) & you can never go wrong with chips and salsa! Thank you Katie for your wonderful service :),-4.243047,-4.237967,-0.005080223,Negative
The food and drinks are amazing.  The staff was very busy and didn't miss a beat with serving our 12 person table.  I recommend the Monster Margaritas for the brave and thirsty.,-4.4748573,-4.473976,-0.00088119507,Negative
Their falafel sandwich with the harissa sauce was really good. The seating can be tough if you go during busy hours.,-4.378592,-4.3442597,-0.034332275,Negative
"For any guys who are curious,

Yes, this place does cater to men and despite the ambiguous pricing, it's basically the same. 13 bucks for brows. Anjuthreads is definitely on the pricier side, but well worth it. The woman who did mine sat me down and had me out of the chair in less than 5 mins and needed zero prompting or direction. I was very pleased with the results.",-4.2495165,-4.2530317,0.0035152435,Positive
"Always unhappy with service there. One time I brought a package in marked fragile. The gal behnd the counter picked it up and TOSSED it in back of her quite far. That should have warned me. 

I went back to rent a mailbox from them and another gal was about as unhelpful, rude and nasty as could be. Extremely unprofessional. 

Other places in D'town and central Bucks that do the same thing. I only went there because it was convenient to a grocery store and K-mart. Now, I just go to another place in D'town.",-4.4787717,-4.463769,-0.0150027275,Negative
"Wow! This place is nothing short of awesome. If you're looking for upscale, swanky, quiet, and expensive, go somewhere else. They had live music, quick service, great bar food, and an overall happy crowd. This is the place to be if you want to enjoy food, drinks, and music outdoors. People with boats can dock there as well. It is such a fun crowd of people. I snagged a Corona (only $5 on tap) and the Rick's famous fish sandwich. The sandwich was delicious and even with a large crowd, I was served super quick. The prices for food are very reasonable, just about everything is $10 or less! Where else in Tampa will you find that, especially being out on the water? I'll wait....Exactly, you won't find it! This place is also good for crowds, I will definitely have my wedding party spend some time here for festivities, I want to bring everyone here. Go, eat, drink, and be merry! I recommend this spot!",-3.643955,-3.6509936,0.0070385933,Positive
"I'm torn about this place. The food is really delicious and well priced. My roommates and I have tried lots of things from this place and its always tasty. My issue is that delivery can take forever. Forever. I've ended up eating another dinner and keeping my Chinese as leftovers because its taken so long. The other side of that  is that going to pick up the food from the restaurant always leaves a bad taste in my mouth. It's not in a nice building by any means and twice I have been harassed in the waiting area by other...patrons. The food is delicious and the people are nice, but getting the food means picking the lesser of two evils. I would say don't call when you're already really hungry and craving Chinese food and know what you're getting in to if you decide to go pick it up yourself.",-3.798301,-3.795493,-0.002808094,Negative
"We've passed this place 1,000 times without stopping.  Our neighbors told us we needed to try it. We had the absolute pleasure of meeting Kee Kee and I hope to see her cheerful self each and every time we go back.  My husband had the chicken and I had the avocado toast. Both were delicious!  Kee Kee let us know that the next time we come in we have to get the chicken and waffles with strawberry butter.  We will definitely be back!  We'll be back for the delicious food and we will definitely ask for Kee Kee!",-3.8024096,-3.7989316,-0.0034780502,Negative
"I am not much on haunted houses but we came out tonight to hear Adam Pearce sing in the band Mothership. Adam is our friend and he is on this seasons The Voice!  #teamadampearce #thevoice 
Parking is take it if you see it and not too hard to find. Be prepared to walk. You can buy a drink at the bar while waiting in the long line for the House of Shock.  #dontliketobescared
I had no desire to be scared so we watched the free music since our friend was singing. 
Just a few things we  noticed...
Plenty of police officers available for security
No outside beverages are allowed once entering the area of the House of Shock
We were told the regular tickets to get inside of the House of Shock is $30 and the VIP ticket is $55. I guess if you like scary things this is a doable price but for me I can walk in a cemetery at night and get scared for free. #cemeteriesarefree

The reason I gave this a 4 Star is because you have access to free music and can purchase beer and food if you would like. ( beer will cost around $6)",-4.1623974,-4.168347,0.005949497,Positive
Best food I have had in 10 years! The steak melted in your mouth and the chicken Florentine is to die for! We don't know the owner but asked her to come out because it was so amazing and she is so proud! It is great to see! It is covid safe and the staff is wonderful!,-4.0010047,-3.9940212,-0.0069835186,Negative
"We needed a new glass door for our shower in our master bedroom. I reached out thru their website, they had someone to measure the next morning. We agreed on price that day, they ordered the kit and was installed in less than 2 hours a week later.Very professional and easy to deal with.Highly recommend.",-4.397155,-4.410673,0.013518333,Positive
"This place deserves 5 stars. It's a crowded place and we were told that wait time was 15 minutes. It took less than that time for us to be seated. Service was great and food was so good. Their grilled octopus was cooked to perfection and it was tender. We ordered their original greek salad, spanakopita, gyro, and saganaki. All food was fresh and tasted great.",-3.8205173,-3.8391645,0.018647194,Positive
"This is one of the newest Walgreens in town.  Really well designed, clean and very modern.  Wide aisles, well stocked etc.  I had to get a prescription filled and they have an interesting set up.  You give them the script and then sit in an area with a TV screen which shows your first name and last name initial to check to see where you stand in getting your prescription filled.  So thinking this was really cool, I just shopped around the store.  Came back to the sitting area and checked once again to see status of my order.  Still stated it was in progress.  Walked around the store again.  Came back 15 minutes later.  Still the same progress on the script.  Boldly checked with the clerk and she went in the back and checked and said it was ready.  Asked her why it wasn't posted on the TV screen, she said she was too busy.  So much for progress.  Oh well, it really has potential for working properly eventually.  Checking the prices on items.  They are pretty high.  But for convenience and cleanliness and being well stocked I'd have to say it is AOK.",-3.6617162,-3.665286,0.0035698414,Positive
"When MT first opened, it was decent. There were multiple servers assigned to a theatre and service was quick. After tonight's experience, stay far away from this place. It's taken a turn for the worst.

Our movie was at 8pm and we were not let into the theatre until 10 minutes before the movie. Once we got in, we put the buttons on to order our drinks/food and we did not see a server until 30 minutes into the movie. There was one server for the entire theatre and he was obviously frazzled. We gave him cash for our order and he didn't give us change. He came around the entire theatre once and never returned, some people had their buttons on the entire movie waiting for service. The food is basic and nothing special. I had a pizza and it was obviously frozen because it was served with cardboard underneath of it. Even the popcorn we had tasted burnt.

This place had some great potential when it opened, but it seems like the new company (Marcus) has really run this place to the ground. It's a great concept, but it seems like they have major staffing problems. Hopefully they can turn it around, but I doubt I'll be back.",-3.6981587,-3.6963081,-0.001850605,Negative
"This was my very first time at the AMC Painter's Crossing. I have been to the Movie Tavern in Collegeville, so I already had some pretty lofty expectations going in.  As soon as we walked in, I immediately was not impressed with the lobby area. It was pretty small, and I could see this area getting easily congested on a Friday/Saturday night. Fortunately we went at 5pm on a Wednesday, so it wasn't too bad. 

The theater itself is very nice. The leather seats were comfortable enough that allowed for a pleasurable movie experience. The main thing with me was the overpriced food. The quality of the food is pretty bad (think Applebee's). $16 for a chicken tender plater entree that was mediocre at best is completely ridiculous. The alcoholic beverages were actually more reasonably priced than the Applebee's quality food. We don't mind spending money on good food, but the food served at this AMC left much to be desired. We should have went to the the Carrabba's across the way. I'm sure we would have spent less there on the (moderately better) food than we did at the movie theater.

The moral of this review is that unless you're absolutely starving, stick to just getting popcorn and a beverage (or an adult beverage). Take your appetite elsewhere unless you like overpaying for subpar food. We certainly would come back to this AMC, but the next time we'll stick with the usual popcorn and beverage combination. If you fancy eating decent food, the Movie Tavern has a pretty significant edge on AMC, even though the food prices are pretty similar.",-3.6679695,-3.6704924,0.0025229454,Positive
"Great coffee shop with yummy goodies 
Thanks for sponsoring the Monday night knitting group",-5.2572255,-5.234095,-0.023130417,Negative
My favorite place to eat. I have been coming here since the doors have opened . I can say I have never had bad service and or service.  Came here to celebrate my dad's birthday with a party of over 10. They were impressed with the service and food. My family now knows why I come here so much. The bartender Sam has been amazing.  Very knowledgeable as far as drinks and what is on the menu. If you go by yourself or don't feel like waiting for a table sot at thr bar.,-3.9450827,-3.9478867,0.002804041,Positive
I ordered a two topping pizza with chicken and jalapenos. In return i get only half a pizza of topping. The other half is plain cheese. Thanks papajohns for a lovely friday evening dinner!!. Will think thrice before i order from this store again.,-4.6890574,-4.6674576,-0.02159977,Negative
"Best pizza and subs (cold or hot) in the area.  I highly recommend the Philly and any of the pizzas.  Friendly staff, clean, fast service, and great food.  Wish they were closer to my house so they could deliver to me!",-3.8904557,-3.885079,-0.005376816,Negative
"I like this place a lot. 
From the decor to the food everything was excellent. 
I love that they play 90s music videos on their TVs. The menus are old albums. 

Mystery beer. 

The food is real cheap and real good. Scrapple bites. Kung PO tofu. $5 nachos that could feed a family. 
The place wasn't packed and it wasn't too loud. I like my friends. So when I go out with them I want to be able to hear them talk. That's the measure of a good bar to me. 
Server was excellent. 
Anyway I was really impressed. I'd go back in a heartbeat.",-3.8352792,-3.8382423,0.002963066,Positive
"This is by far the most inviting Vietnamese place in the St Petersburg area. Best food, clean place, family environment!",-4.378954,-4.3938994,0.014945507,Positive
"Chilli, cornbread, and collard greens.. deeeeeee-licious!!  The meal price reasonable, food nice and hot, staff was friendly.   First time here, and I will be back!!",-4.845456,-4.8001356,-0.04532051,Negative
"Excellent service! Went for a mani pedi and was tended to right away. Nails looking fab and ready for sandals! Oh, make am appointment because they do get busy!",-5.358498,-5.294121,-0.06437731,Negative
"The measure of a great roof job is not just in the ease of the transaction, about which i can say that Justin is quick to respond to a phone call, professional and thorough in his trade, but does the freshly applied roof actually stop the leaks that have been plaguing you for months?

My roof is just shy of being a full fledged ""crispy critter"", but Justin informed me that we can extend the life for another 8 or so years with his coating.

My roof was re-coated last week.  It took Justin and his worker one full day (spread over two mornings) to complete my roof.  They were on time both days, communicated clearly what they were doing and when.  Then they just did their job, without leaving any kind of a mess behind.

THE TEST:  11/3/2016 - Eastside of Tucson gets a real gully washer of a storm that comes through about 7:30ish at night.  As the thunder rolled and the lightning sizzled through the air, my wife and I started dashing about the house, checking all the spots that leaked prior to the new roof going on...NOTHING WAS LEAKING!  The rain came down in sheets, in several coursed over the next hour or so and not so much as a drop inside.

If I could give you 10 stars I would.",-4.2680755,-4.269787,0.0017113686,Positive
Long way away from airport. Shuttle service isn't very frequent in they morning and early morning staff don't greet you to take your car off your hands.,-4.671277,-4.639239,-0.03203821,Negative
The ice cream is absolutely delicious. The flavors are very creative. The atmosphere is very chill and relaxed. They've got a minimalist vibe going on in the place. It's definitely cool to watch them make your ice cream rolls. Sweet spot to hang with friends or just grab dessert.,-3.6587403,-3.6686516,0.009911299,Positive
"When I heard that Sprouts was coming to town my first thought was ""Another grocery store??"" But now that I've been there several times I'm really glad they are an option available to us now. They have a wide variety of interesting products and their prices are quite reasonable. Using coupons is something I should do but most the time do not bother with. Their app makes it so easy that even I don't mind it. You can just select the deals you want in the app and when you check out you scan a code from the app and it takes care of everything. They'll also just give away stuff from the app. I got a 16 oz bottle of coconut water for free! Their prepared foods they make are actually my favorite of any grocery store chain. They're not frozen, but rather refrigerated items that you can just throw in the microwave. The stuffed shells are especially good. One complaint that I have is that the bakery section is so boring. After seeing the beautiful cakes, pastries, tarts, etc in the display cases at Publix or Whole Foods it's kind of a let down. I also wish that we could buy smaller portions of desserts because I don't need that temptation around me. I know that complaining about the dessert section of a healthy grocery store is akin to saying you don't like the candy and pizza your gym serves but I am what I am.",-3.718505,-3.714063,-0.0044419765,Negative
