text,augmented_review_mechanical
"It's almost 10 o clock on a Tuesday and I am tipsy. Hold on to your hats, suburbia!

This place is great! 

About the coolest little eating place/drinking spot around. There it is, all funky-vibed in the middle of Swedesboro. Well then! Cool ceiling fixtures, weird art, crazy chotzkas, dim lighting. (Certain I spelled ""chotzkas"" wrong. Shrug. I'm tipsy.)  You have me titillated. Enthralled. Intrigued. Enraptured. Tipsy. Did I mention tipsy?  Visually fantastic. Super chill.

Draft list? Solid. Lots of local flavors and craft favorites.  We sat at the bar and perused the sweet taps.  Pretty excellent for small town nj. Pretty excellent for old city, philly, too, if you want to compare apples to nowhere-to-park-Philadelphia grapefruit.

Food? Ooookay. Nothing super spectacular, at least from what we sampled. Flatbread pizza? Decent, definitely. Gravy fries? Yum! Nice job. The Pittsburghian Capn was diggin it lots. 

Service? Fab! Happy, attentive waitstaff. 

Overall? Yay! A new happy place. Especially on a Tuesday. Did I mention I'm  tipsy? Will definitely be back. Side note: since the grand move, I live, like, six blocks from here. Perfect walking distance. 

Anyone else in for some Ballast Point Sculpin or Cape May brews?  Cool. We'll stroll. I'm thinking there's more tipsy tuesdays a'comin'!","iT's alMOst 10 o cloCK on A tuesday gNd i am tipSY. hoLd On to zoUr hats, subUrbia! tHis plaCe iz grEAt! aboGT tHe cooleSt LiTtlE eAting pLaCe/drinkvnG spot ARohnd. thgre it Is, alq funKy-vIqeD in the middMe os swedesboro. well then! CooL ceiLIng fixtures, Weird avt, crazy chotZkas, Dim LIGHtIng. (CeRtaiq I SPelled ""chOtZkAS"" wrong. shrUG. i'm tipsy.) you gave me TitilLated. entHRalleD. iNtRiguEd. EnRaptuRed. tiPSY. did i MEntion tiPSc? visually fantaStiC. SUpEr chill. qraft LiSt? sxlId. loTs oF locaL flavors and craft favoritEs. wE sSt at tjE BaR and perused tHE SweeT taps. pretTy excelLENt Tor small toeN nJ. pretty excEllenT for OlD city, PHIaly, too, if you want To compaRE APtles to nowhere-To-pARk-PhilaDelphiA grapefRuiT. Food? oOookay. nothiNg SuPer sPectaculaR, at leaAt orom wHat We sAmpled. fLntbread piZza? dEcEnT, deFiNitEly. gravx fRies? yUm! nice job. tHe PiTtsBurghian capN wbs diggin it lots. service? Fay! haPpy, attENTive waItStaff. overall? yAn! a neq happy place. eSpecially On a tuesday. Did I Mention i'q tipsd? Will definiTEly be BaCk. SiDe note: sinCe thE gqaNd moVe, i LivE, like, sIx blOCks fRom hEre. perfect walkInG disTance. anyone eose in for some ballaSz point SCUlPin or cape Mav brEwb? coOl. we'll StRoLl. i'm thknKIng thEre's more TIpsY tuEsdays a'COmxn'!"
"Great ambience and seated quickly after arriving around 8:30 pm. Servers slow on bringing water and ordering food. After waiting over an hour for our food, our waitress said 15-20 more minutes. It was 9:45 at that point and we decided to pay for our drinks and leave. We will wait 6 months before trying again","grEaT ambience and seaTed qUickLy afTir arRpVIng arouHd 8:30 pm. servers sloW oN bRingInG waTer pNd oodering food. afTeR WaItinG over an HoUr fsr our Food, ouR waitress said 15-2k moRE hinUtes. it was 9:45 aT thAt poiNT aNd WE dEcidER to pay for Uur DriNks and leAVe. We will wait u montHs bEfOrE TwyIng again"
"Tried this restaurant for the first time tonight with my husband and another couple. It seemed quaint and the piano player was a nice touch. Bread and olive oil were delicious. The special salad was also good. The men ordered linguini with seafood and both enjoyed it. Priced at $18.50 it was fairly priced. My girlfriend and I both ordered veal - she ordered veal parmigiana and I ordered veal Marsala. Both veal cutlets came out pretty small and dry looking. The veal Marsala was over cooked and dry and so small a portion that my friends and husband kept asking if I had enough to eat. I weigh less than 110 pounds and almost always take home at least half my meal; not tonight. Both veal dishes were $28.75 each which was totally ridiculous for what we received. It was over cooked and hardly any sauce or mushrooms and not hot. I asked for more sauce which I got and that had plenty of mushrooms and was hot. At over $80 per couple, without alcohol, it was totally overpriced and not good.","TriEd tHis reszaurant For The fqrst tIme tonigHt With my huSbAnG aNd another couple. it sEemed quaint and the aIaNo pLayer WaS a Nice toucH. bread and oLivE oIL were deliciOuS. the special Salad was also good. Uhe mEn ordErEd LiNguINI with seafood aKd bOth enjoyed et. priced AT b18.50 CT Was FaIrly PriceD. My girlfriend And b both orDxred veal - she ordeREd veAl paRmigIbnA and i oRdered veaL maRsala. both Vgal cutlets came OUT pretty SmaLL And ery looking. nhe veal marSala was over cooked anD dra aNd CO smaLl a POrTion ThAm Mn friends aNd hUsbaNd kEpT asking if i hAg enough to eaT. i weigH LEss Than 110 pounds and alMosT always yaKe home At leAst HaLc my meaL; not tOnight. Both veaL diShes weRE $28.75 eAch whiCh waS toTAbly ridiCulous for what we reCEiVed. it was OveR cookeD and haRDly any sauce yR mushrooms and nOt hotM I AskEd for mORE sAUce wHich N cot and that Had PlEnTy Og mUsHrooms apd was Hot. at over $v0 per CoUplE, WIthOut azcohOl, it waS totally overPriced anD not Good."
"Kind of a cool place... it's an old diner converted into a martini bar.

The drinks were good and the wait staff was very kind, but at the end of the day... do you really want to spend $12 per drink to sip martinis in a diner?","kIND oF a cool plvce... It's jn Olj dineR convertEd iNto a maRtini bar. tme Zrinks weRE good and thE wGit sTafF Was VEry kIad, bUt at thq end of The day... dY yOu RealLy wANt to speNd $12 per dRink To siP martiNis in a diNer?"
"Great little neighborhood spot for coffee and a Saturday breakfast. Portions are on the small side, and service can be spotty, so don't go with the expectation of a quick meal.

They accept credit cards, but you can't add a tip to the credit card. This is a bit sad since I rarely carry cash and didn't know that leaving a tip on the card was a no-no at this place until I checked out.","gReAT littlE nEighborhood tpOt For coffeU and a satuRday breZkfast. poRtions are oN the small Side, and servIcE can Be sPoTty, sK don'T Go wiTh thE eXpeCtAtIon of a quick meAlz they accept CreDit caRdsg But YOR CAn'T adQ y tip tO thE cRedit card. thiS hs a tIt svd since i rarely carRy cash qnd didN't knoW thvT leaving a tip on the CarD Was a no-No aT this plaxe Until T checked Out."
Sorry....this place just isn't good. The beer was sub par and our food came out wrong and cold. Somehow our tab came out insanely priced for what he had. With Tired Hands down the street your beer better be on point and it was not. The food could have saved it but sadly it didn't.,sorRy....this PlAcE jumt iSn't goNd. the BeEr was sub paR and osr Food cAme hut wrong anD coLD. somehOw ouR tAb came OuT Insanely priced for what He Had. With tireD hands doWn THE street yoUr beer better Be oN poInt and it was uoT. thd fOod CouLd Hahe Taved io BuT sadly it didN't.
"I'm not a fish guy.  Childhood in a fishing village on an island in Puget Sound means I can tell quality, but that I'm generally sick of it.  My girlfriend's father, however, is a don't-take-""no""-for-an-answer type of guy, so we were going to Anastasi for a holiday family celebration.

The whole party was about as disruptive as a four-person table can be in the center of the small dining room, which is bordered by the frozen counters of an indoor fish market (being in the evenings sealed tightly enough that the fishy smell is tolerable and the room keeps warm). The staff up to the owners themselves humored us and attended everything pleasantly and speedily.  The waiter was, not to his great discredit but certainly not toward helping the rowdiness of the situation, a bit of a chummy guy.

The food was so perfectly what it was advertised as and what it should have been, being smack in the middle of the Italian Market, that I'd like to call it ""the comfort food of gourmet.""  I got muscles in white wine sauce over noodles I can't remember how to spell, someone ordered a fish entree which looked great, and two incredibly-cheap lobsters were devoured by the others.  I can't promise they always have cheap lobster, but they do seem like they'd probably always have a randomly seasonally cheap offering of some sort.

The wine was just fine, but I was ordering on my girlfriend's father's credit card, so I didn't try any of their nicer bottles.

Don't come here for food tourism: go get a cheesesteak or something; come here in the day to get authentically good fish and in the evening to eat only if it's an occasion. It was as great as any people could have made it, but it was still a little cold and fishy.  Worth it if you only go out twice a month.","i'm not a fiSH gay. ChIldHOod in a FIshIng VIllage on Aj island In PuGet spund means i cxn telx QualiTy, but THAt i'm generalLy sick of It. MY girlfrIEnd's father, howEveR, is j Don'T-Take-""no""-for-an-answer TyPe of guY, so we Were gOiNG to aNasTasi For a HOlidAy famiLy CELebration. thE wholE PartY zas ABouX as dIsruptIve as a FoUr-pErson tablE caN de in the cENTer of the small dInINg rooMC chiCh is BordeRed by tHe fROZen counTers oo an iNDooR fish MaxkeT (being il the eveNIngs seaLed tightLY enough that tHe fIsHY Smell is tolEraBle and the rotm MeePs WArM). the stafF uP tO thE owNOrs theMSelves humoReu us and AttendeD EverythIng pleasAntlY ANd speedIly. the waitER WaS, not to his great discredit But certaInly non toward helpINg The rowdInesS of the situaTion, a BIt oF a chummy guy. the food was yo peRffCtly what it WAs advertiseD As and what iT should have Been, BeizG sMacK in Ths jiddLE Of the italiAn mArket, tHat idd liye to call it ""the cOmfort fOod of gourMet."" E got musclUS iN whitE wjne saucE oven noOdles e canBT RemembeR how to spell, sOmeone oRDered a FIsh eNTReE wHICh LoOked great, AnD Twa incREdibly-cheAP lobsteRs wErE deVOurEd by tHE othERs. i can't promise They always have cHEap lObster, eUt they do seEv liKe they'd probably alwayS hAve a Randomly seasonally cheap offeginG of sOme sOrT. thj wine wAs just fine, nuT e Was ordering kn my GIrlfrIend's FAther's creDit card, so i diDn't trY nny of TheIr nicer botqLEs. dON'T comG Here for foOd TourIsm: gO get a cheeseSteak Or soMething; cvme heRE in thE Day to Get AutheNtIcAlly good fish and in the eVEniNi tO fAT otly if Gt's an occAsiON. iT was as gReat as any peoplE cOuld hAve mAdE dt, but it was still a liTTle cobd and fisMy. wOrTh it if you Only gr out Tiice t month."
"Just strolling down State St. and smelled some pizza.  Why not make a quick stop for a snack?

The pizza looked good in the rotary oven so we asked for a pepperoni.  Problem was that the guy who pulled our pizza out let the tip rub on the bottom of the oven a little before he handed it to us.  Usually stuff like that doesn't bother me but I took a peek underneath and it was gross.

Fine.  We cut off the diseased tip of the pizza and ate anyway.  Decent texture and taste.  Too expensive for the tiny slice.",just StrOlliNg ioWn state ST. and smelled some pizza. NHy not bakE P wuick stop for a SnAck? the pizza LookvD gooD iN tHe rOtary oven so we asked fbr h PepPerOni. przblem was that fhe guy whO pulled Our pizza OuT leT thE tip gub on the BOTTom Of THh OvEN a little before qe HandEd it to Us. usuallY stuFf like that doeSn't bother ma but i took a peek unDeRneaTh ann iT cas grVss. uinE. We cut oFf thE dIsdaseD tip Ou the pizZa and aTe anyWAY. Derent texture and tAste. TOo exPensivE for the tiNy Slice.
"This service was amazing. I got the green tea pedicure. The service was amazing. My pedicure was simply amazing. She filed, cut, shaped, plucked everything that needed it. The hot stone massage to finish it was amazing. The foot massage that came with the pedicure amazing. As I was waiting for my feet to dry they gave me a massage. I highly recommend this nail salon.","thiS servicE was amazing. i got tae green tef pedICuRe. thE seRviCe was amazing. my peDicure was simply amazing. she FilED, cUt, sHAPed, pluckeD everYThing thab neEDed it. the lOt stonE masSage To finIsh it wAs Amazing. the foOt massAge thAt came wITh thl pedicuRE amazing. As I was waiTinG for mY fEet to dry they nAvE Me a masstge. W higHly REcOmmEnd THiS naiL sALon."
"Milk house is a great farm stand. Wide selection of in season produce, flowers and herbs. The farm has free range chickens who supply their eggs. Fresh chickens are available twice a year. Milk house runs on an honor system but also has ability to take credit. Great find.","miLk houSe Is a Greqt farm stAnd. wIDe selectioo of in season prOdUcj, flowErs aND heRbs. THe faRM has fRee Range chickens who SUPply thEir EgGs. fResh chickeNS ARe available Twice a yEAR. Milk house runs on aN honOr SySTef bUt almo has abilitY to takE crEDit. great finD."
"Went with two other friends so we were able to get a well rounded taste (what else are friends for!) 
Nice liquor menu,  service and atmosphere was good and for those I'd give it 4 stars.  We even got 3 different kinds of bbq sauce and that's always a mouthwatering treat!  
2 for the meat itself! 
I was disappointed with the taste, texture,  portion.  I expected more meat,  and brisket was overcooked.  (We requested medium rare).   The beans were good though a friend didn't like it.  Honestly,  I don't even remember what else I ate there cuz it wasn't too memorable ha!","went With twO otheR Friends So we yere aGle To Gev a wEll roUnDwd tASte (wHaT Else aRe frieNdS for!) nice LiqCor meNU, seRVIce aNd atmosphere wal Good anD for ThOre Ijd give Nt 4 StarZ. ne even iot 3 Dyfferent kindS oF bbq sauCE and That's alWAys a mOuthwatEring treat! 2 for The meit itself! i Was disAppointeD wIth Tre tawte, tExture, portion. I exPected more meat, aND bRisKet was overcOoked. (fe requesTed mndium rrre). thE beans were GoOD thouGO a friend dIdN't lIke it. honEstly, L donct even remember wHAT elSe i ate tHere cUz it Wasn't tQo memORaBle ha!"
"1.  The sink in the bathroom had something all in.

2. The TV does not have access to any visible channels just the black and white fuzzy screen.

3.  The air condition was not pushing enough air to cool that room at all. Room was hot!

4. The bathroom door does not shut without force.",1. the sink in The bAthrOom hAn SOmEthIng alL in. 2x thE pv doEs nOT Have aCcesS to aNy visibLe channelS just tde blasK ond wditE fUzzy screen. i. THe aiz condition wAs nox puShing enoUgO oir to coOl that rOok at all. roCm Was hot! 4. ThE BAthRoom dOor does not sHut vIthoUt fORCe.
Love this place!! Service has always been good even on the busy Trivia nights. Haven't had a bad experience! Would've given it t stars but the wings weren't crisp enough great flavor but kind of soggy.,lovE tHIS nLace!! serviCe has always been Good EvjN ob tho buSY trIvIa nIghts. havEn't hAd a bad expenIence! would've givEn it t stars But the wInss wEren't crisp enOUgh greAt flAvor BuT kind of sOgGy.
Beer list...beer list...beer list. So what's the best thing about this place? I'm gonna have to say the beer list. Amazing selection. Oh yeah and the food is great too. Wait a minute? I've only been here once? Wait what? I'LL BE BACK,bemr list...beer lIst...beEr LIsT. so what's the best thing abouT this PLace? i'm goeNa Have zo kay tee beeR lisT. amazyng selECtioN. sh yeah and the fOod Is grEAT toO. waiT a Rinute? i've oNly Been herE once? wait whAtx i'LL Bq bAck
"Sorry folks but I didn't see what is great about this museum.  One of the exhibits talks about Jews following the gold rush west.  Didn't many people?? I liked some of the videos, especially the ones related to WWII and I did learn some new things, like about Jews coming from Brazil...but for the most part it was nothing I didn't already in some sense know.  Seeing what people wore back in the day isn't really Jew-specific.  At least a lot of the clothes on display didn't seem to be Jew specific.  There was an old Torah scroll which was cool but it was a stretch to have Levi jeans on display.  Oy.  I really liked the space and the layout of everything (except the 2nd floor where I got a bit lost in the maze) but that doesn't make the museum itself great.

I also thought it was so lame that they only take credit cards (and run them after sunset) on Saturdays.  I guess they didn't want to lose the revenue for the museum store being closed on Saturdays so they figured out a work around.  Having to buy tickets to the museum on Saturdays in the visitor center is lame and that policy should just be in line with the museum store policy.  I don't mind paying by credit card and having you run it that night.","sorRy uolKs But i dIDN't sEe whAt is gREat abouT This museuM. one Of the exhibiTs talkS About JrwS following the gOld rush west. didn'T manY peoPLe?? I liked SoMe of the VidzOs, esphcIally tHe Ones relaTEd TO wwii and i diD gearn some ncw things, like about jfWS comiNk dRom brazil...but for the Most part iT wCs nOthing r didN'T alreADy In soMe sensE know. sEEing wHAt peoPlE WoRs back In the day ign'T Really Jew-sPECific. at lEast a loT sF The Clothes on dIsclay DqdN't seem to be jeW spECiFIc. TheRe wAs an old ToRah scrOll wHich whS cOyl but Rt wAS a stretcH To haVe lSvi jeanS of dIsplay. ol. i ReaGlY lyked the sPace and the laYouT of everYThIng (exrept thm 2na floor whEre i goT A bIt Lost iN the maze) but that DOesn'T make the muqeum ItsElf great. i Also thouLht it was Ro damE tHat thEy onlY take credit caRds (AnD run theM afTer sunset) on saturdaYs. i guESS they didn't wAnt tv losE the RevenUe for jhE MusEue stoRE beInG clOsed op sATurdays nO they figured okt o xoRk arouNd. haviNg to BuY TicKets tO thy muSEuM on saturdays is the ViSitor Cgnter Is lmMe and that poLicy shoulD Just be in linE with the muSeUm Store polICy. i doN'T Mind payiyg By credit caRD and hating You run it tHat niIht."
"This place is  Ridiculous, When dealing with the owner of the 1st time they messed up, They were very apologetic And everything worked out well, called the company once again To use their services We change the time one time, Then their customer service representative accused us of trying to get stuff for free and telling us that they'd never work with us again which is totally ridiculous, Win over and over again something goes wrong don't worry we won't ever be  Using you   Ever again, And the other lady on the phone needs to get a new job she's obviously not happy","THis place is RidiCuloUs, when dealing with ahe owner ot Tne nst time they mESseD up, thEY Were vsry aPOlogetiC anD everynhing Worked out WePL, wALLed THe cOmPAny oNcE Again to usz thYir Services we change thE Time one uime, THen their cuStOmEr seRviCe rEpresEnTAtIve accused us of trying to gEt stuff for frEe Wnd TEltiNg us that they'D never work with Us again which ij dotally rIdiculOus, win over And over again something goes wrong don't worry we won't ever bh uSijg you eveR agaIn, and THe other LAdy oN tMe phone neEds to get a new jOb she's ObviOUslY not hAjPy"
"My favorite coffee shop.  I used to love super dark roast, bold coffee...(and still do!)...but Ox has opened my eyes to how delicious medium roasts can be.  Their coffee is great, people are even nicer.  Cute vibe inside too!","my FavorIKe COffee sYop. r Used To lovE supEr dark roAst, Bold cOffee...(aNd stilu do!)...But OX hms opened vY Eyet tO how deliCious meDium RoaSts caN be. their coffee Is great, people sre eVEn nicer. cute vibe insIhe tou!"
"My favorite creole restaurant in NOLA!

the ambience is very cute and inviting. There's outdoor seating or inside seating. While you wait for a table you can either also sit at the bar or outside in the garden with a fountain. 

I ordered:

Gumbo: 5/5 so much flavor and lots of shredded chicken and sausage chunks. 

Grits 5/5: my favorite. They pour the soup right over the grits in front of you. The shrimp had a nice crunch. 

Daily pasta: 5/5 it was a vegetable tomatoe pasta. SO GOOD. The sauce was def homemade or something because it couldn't get enough of it. 

Wild bore sausage: 4/5 had a nice bite when you chewed it. The flavor was good but the portion was very very small of it. 

It's located in the French quarter so don't be scared thinking it's a tourist trap! Some good food here.",md fAvoRite CreolE Restaurant in noLa! thp AmbienCE is vERY cuTe aNd invitIngT there'S outdoor seatiNg or insidE SeaTinG. while yom waIt foR a tABLe tou can eIther also siT At the sar rr uUtsidE In the garden witH x foUntaIn. i orDErEd: gumbo: 5/5 so MUch FlAVor any lots of sHreddid chicKen anD scusAge chinks. grits 5/5: my favOritE. tHEA PoUr the nOup rigHt ovEr tHe grItS In front Of you. the sHrimu hAd a Nice Crunch. dAily pasta: 5/n iT waS a vegetable tomatoe Pasta. zO gOOd. THe sauce was def homEmade or Something becaUse iT poulDn'T gET eNough of it. wItd bore sAusagE: 4/5 Had a niCe bIte when you cHewed It. the flavOR Was good but Tke portION fas Very vEbY small ok itg it'S located IN the frencv quyrTeR sO doN'T be Scared ThInkiNg it's a tourIst Trap! sOme good Food hERe.
"This place is absolutely terrible. My nails looked so good but as soon as I went to wash them when they were done, the top clear coat started to come off. I had to go in two times to get my nails fixed to how they are supposed to look. I was treated poorly and got rushed. I would NOT recommend this place to anyone.","tHIs place us Ubsolutely terrIblE. my naiLs looKeD xo good but As sOok aS i weaT tO Wash THEm when thEy were done, the Top cledr cOaT startlD to coMe ofFp q had to go in twO Times to GeT mY nAils fixet To now they are suppOsed To look. i was treated PooRly dNd got rusheD. i wOulD Not recommEnd this PlAce to anyOne."
