text,augmented_review
"Went here with my mom a couple weeks ago. We recently went gluten-free, so having Sweet Christine's nearby is a life saver!

I had a donut and a blondie muffin (don't judge!).

The donut wasn't worth it. It was small, awkwardly sweet, weirdly textured.. I just didn't need it in my life. I wouldn't get it again.

The muffin was essentially a chocolate chip muffin. This was the best muffin I've ever had in my life. Now granted, I haven't had muffins in two months, and I LOVE muffins, but having this gluten free option is like a sign from above that God cares about us gluten intolerant folks, too.

I won't be able to go back until July, but when I do, I'm stocking up. I don't care about the price. These muffins are the best.","went hlre wIth my mKm D coupLe weEkS agot we Recently weNt gLuten-fRee, sO haMing sweet chriSTine's nEarby iS n lifE saver! i hAd R donuT lnd a blONdie muFfin (doNpt juzge!). the doNut wasn't wOrTH it. it WaS SmalL, aWKwardly sweet, weirdly textuRed.. i jusT didn't neeW ib in mY Life. i wouldN'T zEt it again. the mUffin was esSentiaLly a chocolAte chip muffiN. this was thn besT mNffin i've ever Had IN my kife. sow granted, i haven't had muffiNs iN TwO moNths, inD I love muFfiNs, bub haVing this gLuten free OpTion is lkke a sign from above that gOD cAreS aBoUt us gLutEn INtOlEraNT folks, toO. i woN't be Able tO go BaCK unTiL july, Buf when i do, i'm stockinG Up. O DonlT care abfuT THe price. these MuFfins are thE best."
"The Castle is hands-down one of my favourite midnight institutions/bars/clubs. Everyone here does their own thing and doesn't give a damn what you think (in the best way possible). Most people are dressed to impress, but they're also there to have fun.

I'm usually a Monday or Thursday night kinda guy, preferring more new wave/indie/pop music than some of the harder gothic/industrial music they play on other nights. For those who are somehow still into cobwebs and corsets and fake fangs, there's a plethora of nights for you. Some of my best memories are dancing hard with a hundred strangers surrounding me, puddles of sweat under our feet, and massive cheers in the wee hours of the morning when the lights flick on and they kick everyone out.

Some of the staff/bartenders/dancers seem to take themselves too seriously, preventing this place from the five stars it probably deserves, but that's hit or miss because I've met some fabulous people working at the Castle over the years.

Time keeps marching on, but inside the Castle there's a strange phantasmagorical atmosphere of old punks and goths, 90s subcultures, hipsters, sexual deviants, local celebrities (The Senator and Peter Pan!) and everything in between, marching to the beat of their own drums. Rock on, Castle.","The castlE Is hands-down one pf mY favOurite mIdnigHt institutions/bars/clubs. EvEryone HerE does ThEir own thinG and dOnsN't giVe a Damn what YoU THinK (in tHe best way possIble). most PeoplE aRE dresseD tx ImPRESsm but tHeY'Pe aLso tHere To HaVe fUn. v'm USually a MBnday Or tHurSDay NIgHt kINDa Guy, prEferrinr morz neW wAre/indie/poP musiC ThaN some of tge harDeR Gothic/iNdusTriAL music they plaY on other NightS. fOr thase Who arD boMEhOw still into coBweby and cORsets and faBe fangS, there'S a pLetHoRa of nigHTs foR yOU. Some Of my beSt memOrIes aRe dancinG hard WiTH a hundrEd StrangeRs suRRoundIng mE, PuDdlEs oF swEaT under Our feET, and massiVe cheeRs In ThE wee Hours of the MorninG whEn The lieHts flTck on And tHeY kick everyore out. some oF the STaFf/BArtEnderS/danceRs seeM nO tAke themseLves tOO serioujly, pRevenTing thiS plAce frzm tue fIVe stArs it probably deserveS, but thatvs hIt or miss BEcaUSe i've met some Fabulous peOPLe wOrKing dt thE caStle fvEr eHe yEArS. time keEps mARcHing on, but inside ghe castlE thERe's a strange PhaNtasmagoricAl atmosphere of oLd puuKs and gothp, 90s suBcultURes, HIpstErs, sexUAl deviAnts, locaL CelEbrities (the seNAtor and OeTEr pan!) and everythIng In beTWeen, OarcHing to the beft of their own Drums. Rock On, Castle."
"Dr. Kolarczyk has been ""my guy' for over 20 years. Great Doctor and nice staff. Highly recommended.","kR. konarczyk has Been ""my iUy' For over 20 yeaRx. gReai doctOr ANd Nice staff. highly RecOmmended."
"It's almost 10 o clock on a Tuesday and I am tipsy. Hold on to your hats, suburbia!

This place is great! 

About the coolest little eating place/drinking spot around. There it is, all funky-vibed in the middle of Swedesboro. Well then! Cool ceiling fixtures, weird art, crazy chotzkas, dim lighting. (Certain I spelled ""chotzkas"" wrong. Shrug. I'm tipsy.)  You have me titillated. Enthralled. Intrigued. Enraptured. Tipsy. Did I mention tipsy?  Visually fantastic. Super chill.

Draft list? Solid. Lots of local flavors and craft favorites.  We sat at the bar and perused the sweet taps.  Pretty excellent for small town nj. Pretty excellent for old city, philly, too, if you want to compare apples to nowhere-to-park-Philadelphia grapefruit.

Food? Ooookay. Nothing super spectacular, at least from what we sampled. Flatbread pizza? Decent, definitely. Gravy fries? Yum! Nice job. The Pittsburghian Capn was diggin it lots. 

Service? Fab! Happy, attentive waitstaff. 

Overall? Yay! A new happy place. Especially on a Tuesday. Did I mention I'm  tipsy? Will definitely be back. Side note: since the grand move, I live, like, six blocks from here. Perfect walking distance. 

Anyone else in for some Ballast Point Sculpin or Cape May brews?  Cool. We'll stroll. I'm thinking there's more tipsy tuesdays a'comin'!","it's almosT 10 o clock on a TuesdAy anD i am tipSy. hoLd on To YouR hats, sUburbia! tHis place is great! aboUt TAe cOolesT litTle eatinG place/drinxing spot aroUND. tHere ip is, alL Fufky-vIbed in THe miudle oF swedesboro. wEll then! cooL CeilinG fixturES, wEiRd art, Crazy CHotzkas, dkm liGhhing. (ceRtain i zPelled ""cHotzkas"" wronG. shrug. icm tIpsy.) you hAve me tiTillAteD. entHRalLed. iNtrigued. enRAptuveD. tipsy. did i mention TipDY? vIsuaMly fanTasTic. supeR chillo draft list? soliD. lOTr of local flavors and drAft FavoriteS. We sat at tHe bAr and PerusED the Sweet TaPs. PRetty exnellEnt for SmAll towN nJ. pRETty Ercellent For old UitY, phiLlY, too, If you Want tO yompArE Apples to nowHere-To-park-pHIlFdelphia grapefruit. FdoD? oooOkay. nOthing super speCtaCulAR, At leasT fzom what wE SaMpled. flatbread piZza? decent, dEfiniteLy. gRAVy frIes? yum! nIcV jobQ the pittsBuRghian cAPN wAs DigGin It lots. serVice? fab! hapPY, AtteNtive waitStafF. overAll? yay! A neW happy place. EspeciallY oN a tuesdAy. did v mention i'M TiPsy? wiLl definITely re Back. side notE: sinCE the grand move, i Live, Like, SiX blOcKS from herE. Perfect waLking distaNce. AnyoNe eLsc in flr some baLlast moiNT SCUlPin oa caPe may brewS? cooL. We'll StroLl. I'm thknking therE's MOre TipjY tueSdaYS a'cOmiNB!"
"Great ambience and seated quickly after arriving around 8:30 pm. Servers slow on bringing water and ordering food. After waiting over an hour for our food, our waitress said 15-20 more minutes. It was 9:45 at that point and we decided to pay for our drinks and leave. We will wait 6 months before trying again","GREaT aMbience and Seated QuiYkLy After aRrivinG aROunD 8:30 pm. SeRveRs slow ON bringing wAtEr and ordering Food. aFter waiTing Vver An hoUr fOr our Food, Our waItress saId 15e20 morE minuTes. iT was 9:45 at thvT point And wE decided to FAy For Our drinks anD Leave. wE wIli wAit k monTHs bEForE tRyIng rGaIN"
"Tried this restaurant for the first time tonight with my husband and another couple. It seemed quaint and the piano player was a nice touch. Bread and olive oil were delicious. The special salad was also good. The men ordered linguini with seafood and both enjoyed it. Priced at $18.50 it was fairly priced. My girlfriend and I both ordered veal - she ordered veal parmigiana and I ordered veal Marsala. Both veal cutlets came out pretty small and dry looking. The veal Marsala was over cooked and dry and so small a portion that my friends and husband kept asking if I had enough to eat. I weigh less than 110 pounds and almost always take home at least half my meal; not tonight. Both veal dishes were $28.75 each which was totally ridiculous for what we received. It was over cooked and hardly any sauce or mushrooms and not hot. I asked for more sauce which I got and that had plenty of mushrooms and was hot. At over $80 per couple, without alcohol, it was totally overpriced and not good.","TRiEd thiS resTaurant For the firsT time tonight with my husBand and anotheR coUply. it sEeMed quaint aNd thE piAqO PlayEr wAs j NIce tourh. bread and OlIve Oil Were dElicioUs. tHe specIal SaLad wAs also good. thR men ordered linGuinI wsth sEafOod and BoTh enjOYEd itb prXced an $18.50 iT HaS fAirly priced. my girlfuiend aNd i qoTh oRdEred veaL - sHe OrdEred yEal parmigiana avd i orDered veal marsAla. bTtH veal cutleTs camE ouT prettY SMalZ And dry looking. thE UeaL maRsalA bas Over cobked Ind dry aNd ro small a hoRtioN that my fripNdS and husbAnd kepT Asking if i haO unOugh to eat. i weigh leST ThaN 11k pouNdS and Almost AlwayS taKe HOMe At least half my Meal; kOt tONigHt. Both vevl dishes werE $28.75 eAcH WHuCh wds totalLy RidiCULous for what We rEcEifED. it Pas oveR cooked And HgrdLy Any sAuce oi mushrooms aZd not hot. i asked For MOre sAuce which i got dnd That haD plcNty of MushroomS and ias hOt. at over $80 per cOUple, without alcohoL, it wAS toTAllP overprIcEd and not gOOd."
"Kind of a cool place... it's an old diner converted into a martini bar.

The drinks were good and the wait staff was very kind, but at the end of the day... do you really want to spend $12 per drink to sip martinis in a diner?","kind os e coOl plaCe... it'S an old dIner conVertEd into b MaRtiNi bAr. THe driNkS weRe goOd anu tHe WaiT staff waS very kind, but at tHe end of the dyy... do you really Want TO spenD $12 Per drIns tO sip martinis in v diNer?"
"Great little neighborhood spot for coffee and a Saturday breakfast. Portions are on the small side, and service can be spotty, so don't go with the expectation of a quick meal.

They accept credit cards, but you can't add a tip to the credit card. This is a bit sad since I rarely carry cash and didn't know that leaving a tip on the card was a no-no at this place until I checked out.","great LittLe nEighborhood vpot for Coffee gND A saTUrDAY breakfast. portIons Are on tee smalr sIdE, and seRvice can Be spotty, sO don't Go with THe EXpecTAtiOn of a qUick mEaL. UhEy accept cRedit cards, buT you canrt add A tip to The cRedit ckrd. this Iw a bit sad siNce i rareLy Carry cash aNd didn't know tHat lEAvINg A tIp on ThE card wAS A no-No AM thik placE unTil B checkVd ouT."
Sorry....this place just isn't good. The beer was sub par and our food came out wrong and cold. Somehow our tab came out insanely priced for what he had. With Tired Hands down the street your beer better be on point and it was not. The food could have saved it but sadly it didn't.,sorry....ThiS PlAcm just isN't good. tte beer was sUb par aND ouh food came oUt wroOg and coLd. soMehuw Our TAb clme out InsaNeLy priced For what he hAd. WitH tirED harDS dOwn the sTReet your beer Bettwr bq on poiNt nnd it was NotV tAE fOod cOulD oave savEd it but sAdly it didn't.
"I'm not a fish guy.  Childhood in a fishing village on an island in Puget Sound means I can tell quality, but that I'm generally sick of it.  My girlfriend's father, however, is a don't-take-""no""-for-an-answer type of guy, so we were going to Anastasi for a holiday family celebration.

The whole party was about as disruptive as a four-person table can be in the center of the small dining room, which is bordered by the frozen counters of an indoor fish market (being in the evenings sealed tightly enough that the fishy smell is tolerable and the room keeps warm). The staff up to the owners themselves humored us and attended everything pleasantly and speedily.  The waiter was, not to his great discredit but certainly not toward helping the rowdiness of the situation, a bit of a chummy guy.

The food was so perfectly what it was advertised as and what it should have been, being smack in the middle of the Italian Market, that I'd like to call it ""the comfort food of gourmet.""  I got muscles in white wine sauce over noodles I can't remember how to spell, someone ordered a fish entree which looked great, and two incredibly-cheap lobsters were devoured by the others.  I can't promise they always have cheap lobster, but they do seem like they'd probably always have a randomly seasonally cheap offering of some sort.

The wine was just fine, but I was ordering on my girlfriend's father's credit card, so I didn't try any of their nicer bottles.

Don't come here for food tourism: go get a cheesesteak or something; come here in the day to get authentically good fish and in the evening to eat only if it's an occasion. It was as great as any people could have made it, but it was still a little cold and fishy.  Worth it if you only go out twice a month.","i'm nOt a fish guy. chilDhOod in a fishing villaGe oN An islanD vn Suget souNd means N cAn tell quAlity, but that ixm generalLy Sick oF It. my gIrlfrienD's FaTheR, hoWevER, is a dOn't-take-""No""-For-An-anSwEr type jf GUy, sO we werE goinG so AnjstAsi for l hOliday family CeleBrAtion. the WhoLE paRty Qas abOUt AQ disRUPtiVE as g four-person Table Can bz In the center of thE Small dinInG room, WhIch is BOrDereD BY the frozen counTeRs Oc an indOor fish marnet (BzIng in tHe evEniNgs Sealed tightLy enoUgh THAt che fishy NmElL is toleraBle anD tfe roOm KeePs warM). the etAff Ip to The OwnerS TheMSbLVes humorEd Us aNc attended everYThing pleasAntLy Ant SPeedily. thE waiTeR Was, not To hiS Great discRedit but ceRtAinLy Not toward HelpiWg the rowdiness OY the situatiON, u bIt if t cHummY gUY. the foOD waS so pErfectly whmt iT Was adVertised aS And wHat it shouLd HAVe beex, beiNg sMacK in THe mIddLE hf TgE italiaN market, thaT i'D lIKe tO call it ""the comforT FoOd oF gOkRmEt."" i got mlscles un white WinE SAucE over noodleS i caN't remeMber mow oo speLl, somEOnE ordereD a FiSh entree wHich LOoied gReaT, and two incrEdIbly-cheap nObSters wEre devoured by tze Others. i cAn't Promise thEy alWAys haVe cHEaP lOBSter, But Tgey do SveM like thEy'D prOBaBly alwAys hmvE B ranDOmly seasonally chenp offERinG Mf Some sOrt. the wine was JuSt fine, but i wAs ordering on my girlFriend's FAthErTs credit card, so i dIdn't tRY any of tHeiR nicer bOttles. doe't coMe heRe por food toUriIm: go gEt a xheesEsteak or sOMEthing; coMe here in the dgy to get aUThentically kood fisH ANd In the evening to eaT only iR iT's aa ocCAsiOn. it was as greAt as any peOple coulD HavB kade It, But ic Was still a lItTle kold And fisHy. WOJth Kt Hf yoU oNly go oUt tWice A moNeh."
"Just strolling down State St. and smelled some pizza.  Why not make a quick stop for a snack?

The pizza looked good in the rotary oven so we asked for a pepperoni.  Problem was that the guy who pulled our pizza out let the tip rub on the bottom of the oven a little before he handed it to us.  Usually stuff like that doesn't bother me but I took a peek underneath and it was gross.

Fine.  We cut off the diseased tip of the pizza and ate anyway.  Decent texture and taste.  Too expensive for the tiny slice.",just StrolliNg Down state sT. and syELlEd some pIZza. why nor mawe a QuiCk stoP MOR a SnacO? ThE Pizza LookeD gooD in tHe rotazY ovEn sO wE asKed fAr b pfpPeroni. proBlem Was That khe guy who kulled our piZZa out let THe tip ruB on the BOttom oF tOe oVen a liTTLe before he handed it to usY usUallY StUff likE tHAt Doesn't botheR me buT n toOk a Peek undeRnEath aHd it das gross. finE. we Cun off The DiseaSed tip OF the pIzzA anD ate aNywaY. dECeNt TexTure add taStE. too eXPenSIVe for the TinY slice.
"This service was amazing. I got the green tea pedicure. The service was amazing. My pedicure was simply amazing. She filed, cut, shaped, plucked everything that needed it. The hot stone massage to finish it was amazing. The foot massage that came with the pedicure amazing. As I was waiting for my feet to dry they gave me a massage. I highly recommend this nail salon.","this sErvicE WAs amazing. i gOt the greeN tEa pedicurei The serVice was AMazIng. my pediCure wAS Simply AmazING. she fIlEd, cUt, shapeD, plucked everything that needed iT. vhe hOt STone maSsAGe to finish it Was amazinG. thE Foot wassaGe tHat CamE with The Pedicure amazingd As I wAS waItZNg For my feEt to Dry Thgy gave me a massaGE. p highly recomMeNd this nail salOn."
"Milk house is a great farm stand. Wide selection of in season produce, flowers and herbs. The farm has free range chickens who supply their eggs. Fresh chickens are available twice a year. Milk house runs on an honor system but also has ability to take credit. Great find.","miLK hoUSe iS a great Farm stAnd. wide seljcTIon oF in SeAson prodUcE, Ulowers and heRbs. the FaRm has free raNge CHIckens who SuPpUy THeir Eggs. fresH chickens Are avAilwBLe Owice x YeAr. mIlk hOUse runs rN an hoNor System bUt alsO has abilIty to taKe cRedit. greAt FiNd."
"Went with two other friends so we were able to get a well rounded taste (what else are friends for!) 
Nice liquor menu,  service and atmosphere was good and for those I'd give it 4 stars.  We even got 3 different kinds of bbq sauce and that's always a mouthwatering treat!  
2 for the meat itself! 
I was disappointed with the taste, texture,  portion.  I expected more meat,  and brisket was overcooked.  (We requested medium rare).   The beans were good though a friend didn't like it.  Honestly,  I don't even remember what else I ate there cuz it wasn't too memorable ha!","wenu with two otHer wRiEnDS so we WTre able to gBt a well rouNded taste (fhat else arE frieNds pOR!) nICe LiqUWr menU, seRpiCe and atmokphEre was good Mnd for tCOSe i'd give wt 4 staRs. We eveN gOT 3 difFereNt kIuds of bbq saucE aNf thAm's aLways a MouthwaTerIng tReat! 2 For tHe Meat itself! i wAs disapPointed With tHe tasTE, texturE, pORTion. I Expected mORe Meat, and briskEt was OvercObked. (we reQuesteD meDium RarE). the BEaNs werE gobd thouGh u friend didN't liKe it. hoNESTlY, i dOn't eyen rEmeIber whaT else i ate ThEre Cuz it waSN't tor MeMOrablE hA!"
"1.  The sink in the bathroom had something all in.

2. The TV does not have access to any visible channels just the black and white fuzzy screen.

3.  The air condition was not pushing enough air to cool that room at all. Room was hot!

4. The bathroom door does not shut without force.",1. the sink in the bathROOm Hrd sOmeThIng all in. 2q tHe tv does nOi have acceSs qO any visible chaNnEls juSt The black and white fUzzY screEn. 3. THE uIr conditIon waS nOj puShiNg enough Air to Cool that rooM aT all. roOM Was vot! T. ThE bathroom DOor does not sHut Without furcE.
Love this place!! Service has always been good even on the busy Trivia nights. Haven't had a bad experience! Would've given it t stars but the wings weren't crisp enough great flavor but kind of soggy.,Love oHIS PLace!! service Has Always beed goOd even On the Busy trivia nIghts. haVen't had a aad expErIeNce! woUld'vE given It J SkARs but thw wings wereN't crisp EnOuGh grEAt flavor but ksnd rf sogGyn
Beer list...beer list...beer list. So what's the best thing about this place? I'm gonna have to say the beer list. Amazing selection. Oh yeah and the food is great too. Wait a minute? I've only been here once? Wait what? I'LL BE BACK,bezR list...beer list...Beer lIst. So wHAt's thL best thing about thIS plyce? ILm gongA hAve To say THf beer list. amaZing seleCtion. oh Yeah and tHe FOod ip greaT TOo. wait R mieute? I've only been here oncE? wait What? i'll bE bapk
"Sorry folks but I didn't see what is great about this museum.  One of the exhibits talks about Jews following the gold rush west.  Didn't many people?? I liked some of the videos, especially the ones related to WWII and I did learn some new things, like about Jews coming from Brazil...but for the most part it was nothing I didn't already in some sense know.  Seeing what people wore back in the day isn't really Jew-specific.  At least a lot of the clothes on display didn't seem to be Jew specific.  There was an old Torah scroll which was cool but it was a stretch to have Levi jeans on display.  Oy.  I really liked the space and the layout of everything (except the 2nd floor where I got a bit lost in the maze) but that doesn't make the museum itself great.

I also thought it was so lame that they only take credit cards (and run them after sunset) on Saturdays.  I guess they didn't want to lose the revenue for the museum store being closed on Saturdays so they figured out a work around.  Having to buy tickets to the museum on Saturdays in the visitor center is lame and that policy should just be in line with the museum store policy.  I don't mind paying by credit card and having you run it that night.","sOrrY folkS bdT u qidN't see whaT is great wbout iHIs muSSum. One OF the ExhibITs talks ABOuT jews fOlnowiNg ThE GoLd rUSh west. didn'T manO eeopLE?? I LikEd soxE of the videos, especiaLly tHe oNes reLated to wWii And i xiD LeARN somE neW Things, like about jews comiNg fRom brazil...bUt FoR the most part Ia was nowhing i didn't already iN sOMe SeNue knOw. seeang WhAt PeoPle woRe back in The Dau isn't really jeW-specifIC. at ieast a lot oF the clotseS On DisplaY diDN't seem To be jew specifij. there waS an Old tOrah scroLl which was COol bUt It raS a stretch to have levi jEanS ON disPlay. oY. i really Liked tHe space anD thT LaYout of everYthing (excepT the 2nd fLOor where i Got a Bit LOst kn the maze) bUt zhaT doeSn't MAke ThE museum itseLf greAt. b aLso tHought It wAs so lTme thaT tTeY Only take Credid cards (and ruN Them aftEr cUnset) in satUrdays. I goEss thEY didn't mant mo Lose ThE raveNue for thE mfseUm store being closed on sAturdayS So they figured oxT a work aroUnd. hAving to buy TIckets to thE musEuM zn SatUrdayS in thE visiTor cEntEr Is laME anc that poLicy shoULp jUst BE in lINe wIth the mujeum Store poLicy. i don't Mind paying bY CReJit card and havIng yau run YT that niGhT."
"This place is  Ridiculous, When dealing with the owner of the 1st time they messed up, They were very apologetic And everything worked out well, called the company once again To use their services We change the time one time, Then their customer service representative accused us of trying to get stuff for free and telling us that they'd never work with us again which is totally ridiculous, Win over and over again something goes wrong don't worry we won't ever be  Using you   Ever again, And the other lady on the phone needs to get a new job she's obviously not happy","tnis place iM ridIculouS, WheN DealIng wiTh thE owneR Of The 1St tIme tgey messed upV they weRe VeRy apOlOgEtiC and cvERytHInG workEd okt well, Called the company rnCe aGaIs to Use tHeir sarVices Wn change THe time One time, Shen their customer service rePresEntatiVe accuSed US of tryinG to Get StuFF fOr freE and telling Uf that TheY'd neveR wOrk with Us AGaiN wHich iM totAllY RidicULouS, Vin WveR and over agAIn iomething goes wrong dOn'm womry we won't EvER cE usilG you eVEr again, qnd ThE OtHer LadY on the phonE needs to Get a NeW joB she's obVioUsly qot hAppy"
"My favorite coffee shop.  I used to love super dark roast, bold coffee...(and still do!)...but Ox has opened my eyes to how delicious medium roasts can be.  Their coffee is great, people are even nicer.  Cute vibe inside too!","mp FaVOrIte COffee shoP. i uSed To lOve super lark roAst, bolD CoffeE...(aNd stiLl DO!)...buT ox hAC opened my ejes TO how deLIcious medium roasts cAn Be. thEiR coFfEe is great, peorle Are even niceR. cute vibE insiDe too!"
"My favorite creole restaurant in NOLA!

the ambience is very cute and inviting. There's outdoor seating or inside seating. While you wait for a table you can either also sit at the bar or outside in the garden with a fountain. 

I ordered:

Gumbo: 5/5 so much flavor and lots of shredded chicken and sausage chunks. 

Grits 5/5: my favorite. They pour the soup right over the grits in front of you. The shrimp had a nice crunch. 

Daily pasta: 5/5 it was a vegetable tomatoe pasta. SO GOOD. The sauce was def homemade or something because it couldn't get enough of it. 

Wild bore sausage: 4/5 had a nice bite when you chewed it. The flavor was good but the portion was very very small of it. 

It's located in the French quarter so don't be scared thinking it's a tourist trap! Some good food here.",mW favorIte creole restaurant in nolA! The ambiEnce is xEry cuTe and invIting. There'S OuTDoOr sEAtIng or InSide seatiNg. while YOu waiL for x table You Can eiTHer aLzO wit aT the bar oR ouTSidE iN the gArden with a fountain. I oRdEred: gumbO: 5/5 sr muwh flavor and lOts of shreDded cHicKen aNd sauuage chunks. griTs 5/5: my fAVorItE. they pOur the SoJp riGHt wvEr The grits in front oF you. tnE sHrimp hAd A nIce CrUnch. dAIly pasTa: 5/5 it wam a vegeTable tomatoe pantA. sO good. the saucE was dey hoMemade or sOmethink bEcauSe it coulDN't GeT enough of IT. wiLd bore sausage: 4/5 hAd a niXe bnte whIn You chewed it. the flavoR wAk pOod but the Portion wzs very VekY small oF It. iT's locaTEd yn The french quaRter so don't Be scakeD thinKing it's f touriSt trap! somE gOok Food heRe.
"This place is absolutely terrible. My nails looked so good but as soon as I went to wash them when they were done, the top clear coat started to come off. I had to go in two times to get my nails fixed to how they are supposed to look. I was treated poorly and got rushed. I would NOT recommend this place to anyone.","This plxce iS absolutely terriBlE. my nails lotKed uO good buT as soOn ab i Went to wazh ThEm when tHey werE Done, tHe top Clear CoAt starThd tO RoMe off. i HYd to Lo in twO TiMes to ghT my nuils fixed to hOW jHey are suppOsed to Look. i was tReAtEd PooRly tND gOt rUShed. i woulD not Decommend tHIs pLace tO anyone."
